Typ;Ns_Number;Dovod
Chyba;H0602935;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0602930;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0602931;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0602946;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0602949;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0602418;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0602420;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0601008;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0601009;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0602990;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0601398;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0601486;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600028;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600030;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600034;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600042;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600104;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600106;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600130;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600133;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600462;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600463;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0602828;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600709;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600802;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600803;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600819;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0600825;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0601385;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0602410;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0601697;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0602987;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0601095;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0601479;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H1301449;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0601170;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0403815;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0403814;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H0400027;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;HL-HF3062;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H1701885;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H1700273;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;H1719023;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;HD0089;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;HD0093;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;HD0109;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;HD0045;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;HD0026;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;HD0035;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
Chyba;HD0031;Duplicita v ONIX-e — NS_NUMBER sa nachádza v evidencii viac krát
