Typ;Ns_Number;Dovod
Chyba;HD0032;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;HD0114;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;HC01.W461;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H1723390;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H1723392;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H1723391;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H1723389;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600008;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600009;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600010;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H1723404;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600197;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600069;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600195;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600193;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600067;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600201;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600425;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600476;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600477;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600482;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600515;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0601623;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600516;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600518;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600519;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600520;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600533;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0604538;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602143;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0601461;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602782;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602148;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602147;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0601640;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600690;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600689;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600755;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600687;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602889;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602395;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602392;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602890;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602898;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602949;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602418;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602946;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602420;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602931;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0601398;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0601009;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602990;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0601486;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600028;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600030;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600042;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600034;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600106;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600133;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600104;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600130;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600462;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600463;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602828;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600709;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0601385;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600802;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600819;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600803;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0600825;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602410;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602987;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0601697;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
