Typ;H_kód;Dávka;Index;Dôvod
CHYBA;HD0032;20;976;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;HD0114;21;1013;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;HC01.W461;100;4969;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H1723390;107;5349;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H1723392;108;5358;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H1723391;108;5359;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H1723389;108;5363;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0819863;196;9764;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600008;296;14796;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600009;298;14897;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600010;302;15050;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H1723404;394;19664;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600069;398;19893;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600067;398;19894;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600200;399;19927;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600201;400;19953;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600425;408;20385;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600482;415;20732;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600476;415;20733;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600515;437;21846;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601623;439;21934;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600518;452;22553;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600519;458;22878;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600520;466;23252;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600533;495;24710;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0604538;501;25001;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0602148;502;25058;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601461;502;25072;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0602316;502;25085;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601353;502;25091;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601356;502;25092;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601355;502;25093;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601354;502;25094;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600690;503;25106;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600687;503;25107;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600755;503;25119;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601642;503;25129;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0602395;505;25228;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0602394;505;25229;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600943;505;25237;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0602407;505;25243;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0602409;505;25244;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0602929;506;25250;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0602418;506;25293;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0602420;506;25294;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601008;506;25295;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601009;507;25303;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600028;514;25666;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600104;517;25830;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600106;517;25831;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600133;517;25833;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600463;558;27897;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600709;563;28142;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600802;565;28206;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600803;565;28207;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0600819;565;28208;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601385;565;28228;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0602410;566;28269;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601697;570;28472;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601479;570;28494;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H1301449;571;28501;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0601170;571;28517;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0403815;975;48703;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0403814;975;48704;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H0400027;1041;52031;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;HL-HF3062;1050;52457;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H1701885;1087;54300;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H1700273;1091;54530;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;H1719023;1166;58253;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;HD0089;1171;58508;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;HD0093;1171;58524;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;HD0109;1171;58527;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
CHYBA;HD0045;1173;58621;"NS_NUMBER sa nachádza v evidencii viac krát (duplicita v ONIX)"
